# Things identified by signal name
SP1-IA-4	CCD_IA1_pin[3]
SP1-IA-3	CCD_IA1_pin[2]
SP1-IA-2	CCD_IA1_pin[1]
SP1-IA-1	CCD_IA1_pin[0]
SP2-IA-4	CCD_IA2_pin[3]
SP2-IA-3	CCD_IA2_pin[2]
SP2-IA-2	CCD_IA2_pin[1]
SP2-IA-1	CCD_IA2_pin[0]
SP3-IA-4	CCD_IA3_pin[3]
SP3-IA-3	CCD_IA3_pin[2]
SP3-IA-2	CCD_IA3_pin[1]
SP3-IA-1	CCD_IA3_pin[0]
SP1-FS-4	CCD_FS1_pin[3]
SP1-FS-3	CCD_FS1_pin[2]
SP1-FS-2	CCD_FS1_pin[1]
SP1-FS-1	CCD_FS1_pin[0]
SP2-FS-4	CCD_FS2_pin[3]
SP2-FS-3	CCD_FS2_pin[2]
SP2-FS-2	CCD_FS2_pin[1]
SP2-FS-1	CCD_FS2_pin[0]
SP3-FS-4	CCD_FS3_pin[3]
SP3-FS-3	CCD_FS3_pin[2]
SP3-FS-2	CCD_FS3_pin[1]
SP3-FS-1	CCD_FS3_pin[0]
SDO-D-4	CCD_ADC_Sdi_pin[15]
SDO-C-4	CCD_ADC_Sdi_pin[14]
SDO-B-4	CCD_ADC_Sdi_pin[13]
SDO-A-4	CCD_ADC_Sdi_pin[12]
SDO-D-3	CCD_ADC_Sdi_pin[11]
SDO-C-3	CCD_ADC_Sdi_pin[10]
SDO-B-3	CCD_ADC_Sdi_pin[9]
SDO-A-3	CCD_ADC_Sdi_pin[8]
SDO-D-2	CCD_ADC_Sdi_pin[7]
SDO-C-2	CCD_ADC_Sdi_pin[6]
SDO-B-2	CCD_ADC_Sdi_pin[5]
SDO-A-2	CCD_ADC_Sdi_pin[4]
SDO-D-1	CCD_ADC_Sdi_pin[3]
SDO-C-1	CCD_ADC_Sdi_pin[2]
SDO-B-1	CCD_ADC_Sdi_pin[1]
SDO-A-1	CCD_ADC_Sdi_pin[0]
# Remove for 6.1:
HKA6	HSK_ADC_Sel_pin[6]
# Remove for 6.1:
HKA5	HSK_ADC_Sel_pin[5]
# Remove for 6.1:
HKA4	HSK_ADC_Sel_pin[4]
# Remove for 6.1:
HKA3	HSK_ADC_Sel_pin[3]
HKA2	HSK_ADC_Sel_pin[2]
HKA1	HSK_ADC_Sel_pin[1]
HKA0	HSK_ADC_Sel_pin[0]
\_DS96\_	New_Pin_For_6.1
\_DS88\_	CLC_DCS_pin[3]
\_DS80\_	CLC_DCS_pin[2]
\_DS72\_	CLC_DCS_pin[1]
\_DS64\_	CLC_DCS_pin[0]
\_DS56\_	New_Pin_For_6.1
\_DS48\_	New_Pin_For_6.1
\_DS40\_	New_Pin_For_6.1
\_DS32\_	New_Pin_For_6.1
\_DS24\_	New_Pin_For_6.1
\_DS16\_	New_Pin_For_6.1
\_DS8\_	New_Pin_For_6.1
\_DS0\_	New_Pin_For_6.1
# Remove for 6.1:
DCS3	CLC_CS8_11_pin[3]
# Remove for 6.1:
DCS2	CLC_CS8_11_pin[2]
# Remove for 6.1:
DCS1	CLC_CS8_11_pin[1]
# Remove for 6.1:
DCS0	CLC_CS8_11_pin[0]
TestMode-1	TestMode_pins[1]
TestMode-0	TestMode_pins[0]
\_RED\_	DebugStatus_pins[5]
\_ORANGE\_	DebugStatus_pins[4]
\_YELLOW\_	DebugStatus_pins[3]
\_GREEN\_	DebugStatus_pins[2]
\_BLUE\_	DebugStatus_pins[1]
\_WHITE\_	DebugStatus_pins[0]
Cam_ID-4	Cam_ID[4]
Cam_ID-3	Cam_ID[3]
Cam_ID-2	Cam_ID[2]
Cam_ID-1	Cam_ID[1]
Cam_ID-0	Cam_ID[0]
osc_clk	osc_clk_60_pin
SP1OR	CCD_S1_pin
SP2OR	CCD_S2_pin
SP3OR	CCD_S3_pin
SP1U	New_Pin_For_6.1
SP2U	New_Pin_For_6.1
SP3U	New_Pin_For_6.1
SRG	CCD_RstGate_pin
SID	CCD_InDiode_pin
cwclk	ChargePumpClk_pin
Clamp	CCD_ADC_Clamp_pin
# Fix pin name in 6.1:
DeInt	CCD_ADC_Hold_pin
DeInt	CCD_ADC_DeInt_pin
Int	CCD_ADC_Int_pin
CNV	CCD_ADC_Cnv_pin
SCK	CCD_ADC_Sck_pin
C422	Cmd_SCK_pin
D422	Cmd_DIN_pin
DATA-A	dataA_out_pin_p
\_DATA-A\_	dataA_out_pin_n
DATA-B	dataB_out_pin_p
\_DATA-B\_	dataB_out_pin_n
HKC	HSK_ADC_Sck_pin
HKD	HSK_ADC_Sdi_pin
\_HKCS\_	HSK_ADC_Cnv_pin
HK0	New_Pin_For_6.1
HK8	New_Pin_For_6.1
HK16	New_Pin_For_6.1
HK32	New_Pin_For_6.1
HK40	New_Pin_For_6.1
HK48	New_Pin_For_6.1
HK56	New_Pin_For_6.1
HK64	HSK_ADC_64_pin
HK72	HSK_ADC_72_pin
HK80	HSK_ADC_80_pin
HK88	HSK_ADC_88_pin
HK96	New_Pin_For_6.1
HK104	HSK_ADC_104_pin
HK112	New_Pin_For_6.1
HK120	New_Pin_For_6.1
DD	CLC_DAC_Din_pin
DCK	CLC_DAC_Sck_pin
# Things identified by board voltage
+3.3F	3.30
+2.5F	2.50
+1.8F	1.80
+1F	1.00
GND	GND
# Things identified by signal name
C422	CCLK_0
+3.3F	CFGBVS_0
DONE_0	DONE_0
\_INIT\_	INIT_B_0
M0_0	M0_0
M1_0	M1_0
M2_0	M2_0
\_PROGRAM\_	PROGRAM_B_0
TCK	TCK_0
TDI	TDI_0
TDO	TDO_0
TMS	TMS_0
GND	VCCBATT_0
GND	DXN_0
GND	DXP_0
+3.3F	VCCO_0
GND	GNDADC_0
+1.8F	VCCADC_0
GND	VN_0
GND	VP_0
GND	VREFN_0
GND	VREFP_0
+2.5F	VCCO_15
+1.8F	VCCAUX
+1F	VCCBRAM
+1F	VCCINT
GND	MGTRREF_216
GND	MGTPRXP1_216
GND	MGTPRXP2_216
GND	MGTPRXP3_216
GND	MGTPRXP0_216
GND	MGTPRXN1_216
GND	MGTPRXN2_216
GND	MGTPRXN3_216
GND	MGTPRXN0_216
NC	MGTREFCLK1P_216
NC	MGTREFCLK1N_216
NC	MGTREFCLK0P_216
NC	MGTREFCLK0N_216
NC	MGTPTXP3_216
NC	MGTPTXP2_216
NC	MGTPTXP1_216
NC	MGTPTXP0_216
NC	MGTPTXN3_216
NC	MGTPTXN2_216
NC	MGTPTXN1_216
NC	MGTPTXN0_216
GND	VCCO_13
GND VCCO_34
GND	VCCO_35
[END]
