#Top: FPE_Wrapper   Floorplan: impl_1   Part: xc7a50tfgg484-1
#Generated by: karih   on: Thu Apr 16 14:38:25 2015
#Build: Vivado v2014.4   by: xbuild   on: Tue Nov 18 16:47:07 MST 2014

IO Bank,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Trace Length (um),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,Pull Type,IN_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
16,F18,IOB_X0Y120,IO_L15P_T2_DQS_16,92.941,93.875,,,,CCD_IA1_pin[3],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,B20,IOB_X0Y118,IO_L16P_T2_16,111.109,112.226,,,,CCD_IA1_pin[2],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,E18,IOB_X0Y119,IO_L15N_T2_DQS_16,90.492,91.401,,,,CCD_IA1_pin[1],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,A20,IOB_X0Y117,IO_L16N_T2_16,111.215,112.333,,,,CCD_IA1_pin[0],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,B21,IOB_X0Y108,IO_L21P_T3_DQS_16,121.638,122.860,,,,CCD_IA2_pin[3],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,A21,IOB_X0Y107,IO_L21N_T3_DQS_16,123.790,125.034,,,,CCD_IA2_pin[2],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,C22,IOB_X0Y110,IO_L20P_T3_16,124.638,125.891,,,,CCD_IA2_pin[1],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,B22,IOB_X0Y109,IO_L20N_T3_16,120.626,121.838,,,,CCD_IA2_pin[0],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,C13,IOB_X0Y134,IO_L8P_T1_16,97.037,98.012,,,,CCD_IA3_pin[3],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,B15,IOB_X0Y136,IO_L7P_T1_16,85.630,86.490,,,,CCD_IA3_pin[2],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,B16,IOB_X0Y135,IO_L7N_T1_16,86.732,87.603,,,,CCD_IA3_pin[1],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,B13,IOB_X0Y133,IO_L8N_T1_16,100.318,101.326,,,,CCD_IA3_pin[0],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,D16,IOB_X0Y139,IO_L5N_T0_16,69.025,69.719,,,,CCD_FS1_pin[3],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,E14,IOB_X0Y141,IO_L4N_T0_16,71.516,72.234,,,,CCD_FS1_pin[2],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,C14,IOB_X0Y144,IO_L3P_T0_DQS_16,69.236,69.932,,,,CCD_FS1_pin[1],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,E13,IOB_X0Y142,IO_L4P_T0_16,74.551,75.300,,,,CCD_FS1_pin[0],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,E22,IOB_X0Y106,IO_L22P_T3_16,117.040,118.216,,,,CCD_FS2_pin[3],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,E21,IOB_X0Y104,IO_L23P_T3_16,103.715,104.758,,,,CCD_FS2_pin[2],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,D22,IOB_X0Y105,IO_L22N_T3_16,114.166,115.313,,,,CCD_FS2_pin[1],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,D21,IOB_X0Y103,IO_L23N_T3_16,107.029,108.105,,,,CCD_FS2_pin[0],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,D14,IOB_X0Y138,IO_L6P_T0_16,69.339,70.036,,,,CCD_FS3_pin[3],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,D15,IOB_X0Y137,IO_L6N_T0_VREF_16,59.725,60.325,,,,CCD_FS3_pin[2],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,C15,IOB_X0Y143,IO_L3N_T0_DQS_16,67.914,68.597,,,,CCD_FS3_pin[1],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
16,E16,IOB_X0Y140,IO_L5P_T0_16,60.665,61.275,,,,CCD_FS3_pin[0],OUT,,,LVCMOS33,8,SLOW,,,,,,NONE,,
15,L21,IOB_X0Y79,IO_L10N_T1_AD11N_15,89.645,90.546,,,,CCD_ADC_Sdi_pin[15],IN,,,LVCMOS25,12,SLOW,,,,PULLUP,,,,
15,K19,IOB_X0Y73,IO_L13N_T2_MRCC_15,74.378,75.126,,,,CCD_ADC_Sdi_pin[14],IN,,,LVCMOS25,12,SLOW,,,,PULLUP,,,,
15,H15,IOB_X0Y89,IO_L5N_T0_AD9N_15,83.469,84.308,,,,CCD_ADC_Sdi_pin[13],IN,,,LVCMOS25,12,SLOW,,,,PULLUP,,,,
15,G17,IOB_X0Y92,IO_L4P_T0_15,94.586,95.537,,,,CCD_ADC_Sdi_pin[12],IN,,,LVCMOS25,12,SLOW,,,,PULLUP,,,,
15,K18,IOB_X0Y74,IO_L13P_T2_MRCC_15,72.510,73.239,,,,CCD_ADC_Sdi_pin[11],IN,,,LVCMOS25,12,SLOW,,,,PULLUP,,,,
15,G18,IOB_X0Y91,IO_L4N_T0_15,97.795,98.778,,,,CCD_ADC_Sdi_pin[10],IN,,,LVCMOS25,12,SLOW,,,,PULLUP,,,,
15,J20,IOB_X0Y78,IO_L11P_T1_SRCC_15,80.678,81.489,,,,CCD_ADC_Sdi_pin[9],IN,,,LVCMOS25,12,SLOW,,,,PULLUP,,,,
15,J14,IOB_X0Y94,IO_L3P_T0_DQS_AD1P_15,84.115,84.960,,,,CCD_ADC_Sdi_pin[8],IN,,,LVCMOS25,12,SLOW,,,,PULLUP,,,,
15,J21,IOB_X0Y77,IO_L11N_T1_SRCC_15,83.057,83.891,,,,CCD_ADC_Sdi_pin[7],IN,,,LVCMOS25,12,SLOW,,,,PULLUP,,,,
15,M21,IOB_X0Y80,IO_L10P_T1_AD11P_15,90.890,91.804,,,,CCD_ADC_Sdi_pin[6],IN,,,LVCMOS25,12,SLOW,,,,PULLUP,,,,
15,L20,IOB_X0Y71,IO_L14N_T2_SRCC_15,73.236,73.972,,,,CCD_ADC_Sdi_pin[5],IN,,,LVCMOS25,12,SLOW,,,,PULLUP,,,,
15,J15,IOB_X0Y90,IO_L5P_T0_AD9P_15,69.776,70.478,,,,CCD_ADC_Sdi_pin[4],IN,,,LVCMOS25,12,SLOW,,,,PULLUP,,,,
15,J19,IOB_X0Y76,IO_L12P_T1_MRCC_15,90.108,91.014,,,,CCD_ADC_Sdi_pin[3],IN,,,LVCMOS25,12,SLOW,,,,PULLUP,,,,
15,H14,IOB_X0Y93,IO_L3N_T0_DQS_AD1N_15,85.305,86.162,,,,CCD_ADC_Sdi_pin[2],IN,,,LVCMOS25,12,SLOW,,,,PULLUP,,,,
