# Things identified by signal name
SP1-IA-4	CCD_IA1_pin[3]
SP1-IA-3	CCD_IA1_pin[2]
SP1-IA-2	CCD_IA1_pin[1]
SP1-IA-1	CCD_IA1_pin[0]
SP2-IA-4	CCD_IA2_pin[3]
SP2-IA-3	CCD_IA2_pin[2]
SP2-IA-2	CCD_IA2_pin[1]
SP2-IA-1	CCD_IA2_pin[0]
SP3-IA-4	CCD_IA3_pin[3]
SP3-IA-3	CCD_IA3_pin[2]
SP3-IA-2	CCD_IA3_pin[1]
SP3-IA-1	CCD_IA3_pin[0]
SP1-FS-4	CCD_FS1_pin[3]
SP1-FS-3	CCD_FS1_pin[2]
SP1-FS-2	CCD_FS1_pin[1]
SP1-FS-1	CCD_FS1_pin[0]
SP2-FS-4	CCD_FS2_pin[3]
SP2-FS-3	CCD_FS2_pin[2]
SP2-FS-2	CCD_FS2_pin[1]
SP2-FS-1	CCD_FS2_pin[0]
SP3-FS-4	CCD_FS3_pin[3]
SP3-FS-3	CCD_FS3_pin[2]
SP3-FS-2	CCD_FS3_pin[1]
SP3-FS-1	CCD_FS3_pin[0]
SDO-D-4	CCD_ADC_Sdi_pin[15]
SDO-C-4	CCD_ADC_Sdi_pin[14]
SDO-B-4	CCD_ADC_Sdi_pin[13]
SDO-A-4	CCD_ADC_Sdi_pin[12]
SDO-D-3	CCD_ADC_Sdi_pin[11]
SDO-C-3	CCD_ADC_Sdi_pin[10]
SDO-B-3	CCD_ADC_Sdi_pin[9]
SDO-A-3	CCD_ADC_Sdi_pin[8]
SDO-D-2	CCD_ADC_Sdi_pin[7]
SDO-C-2	CCD_ADC_Sdi_pin[6]
SDO-B-2	CCD_ADC_Sdi_pin[5]
SDO-A-2	CCD_ADC_Sdi_pin[4]
SDO-D-1	CCD_ADC_Sdi_pin[3]
SDO-C-1	CCD_ADC_Sdi_pin[2]
SDO-B-1	CCD_ADC_Sdi_pin[1]
SDO-A-1	CCD_ADC_Sdi_pin[0]
HKA2	HSK_ADC_Sel_pin[2]
HKA1	HSK_ADC_Sel_pin[1]
HKA0	HSK_ADC_Sel_pin[0]
\_DS96\_	CLS_DCS_96_pin
\_DS88\_	CLS_DCS_88_pin
\_DS80\_	CLS_DCS_80_pin
\_DS72\_	CLS_DCS_72_pin
\_DS64\_	CLS_DCS_64_pin
\_DS56\_	CLS_DCS_56_pin
\_DS48\_	CLS_DCS_48_pin
\_DS40\_	CLS_DCS_40_pin
\_DS32\_	CLS_DCS_32_pin
\_DS24\_	CLS_DCS_24_pin
\_DS16\_	CLS_DCS_16_pin
\_DS8\_	CLS_DCS_8_pin
\_DS0\_	CLS_DCS_0_pin
ArtixDebug7	DebugStatus_pins[7]
ArtixDebug6	DebugStatus_pins[6]
\_RED\_	DebugStatus_pins[5]
\_ORANGE\_	DebugStatus_pins[4]
\_YELLOW\_	DebugStatus_pins[3]
\_GREEN\_	DebugStatus_pins[2]
\_BLUE\_	DebugStatus_pins[1]
\_WHITE\_	DebugStatus_pins[0]
Cam_ID-4	Cam_ID_pin[4]
Cam_ID-3	Cam_ID_pin[3]
Cam_ID-2	Cam_ID_pin[2]
Cam_ID-1	Cam_ID_pin[1]
Cam_ID-0	Cam_ID_pin[0]
osc_clk	osc_clk_60_pin
SP1OR	CCD_S1_pin
SP2OR	CCD_S2_pin
SP3OR	CCD_S3_pin
SP1U	CCD_SU1_pin
SP2U	CCD_SU2_pin
SP3U	CCD_SU3_pin
SRG	CCD_RstGate_pin
SID	CCD_InDiode_pin
cwclk	ChargePumpClk_pin
Clamp	CCD_ADC_Clamp_pin
DeInt	CCD_ADC_DeInt_pin
Int	CCD_ADC_Int_pin
CNV	CCD_ADC_Cnv_pin
ArtSCK	CCD_ADC_Sck_pin
C422	Cmd_SCK_pin
D422	Cmd_DIN_pin
DATA-A	dataA_out_pin_p
\_DATA-A\_	dataA_out_pin_n
DATA-B	dataB_out_pin_p
\_DATA-B\_	dataB_out_pin_n
HKC	HSK_ADC_Sck_pin
HKD	HSK_ADC_Sdi_pin
\_HKCS\_	HSK_ADC_Cnv_pin
HK0	HSK_ADC_0_pin
HK8	HSK_ADC_8_pin
HK16	HSK_ADC_16_pin
HK24	HSK_ADC_24_pin
HK32	HSK_ADC_32_pin
HK40	HSK_ADC_40_pin
HK48	HSK_ADC_48_pin
HK56	HSK_ADC_56_pin
HK64	HSK_ADC_64_pin
HK72	HSK_ADC_72_pin
HK80	HSK_ADC_80_pin
HK88	HSK_ADC_88_pin
HK96	HSK_ADC_96_pin
HK104	HSK_ADC_104_pin
HK112	HSK_ADC_112_pin
HK120	HSK_ADC_120_pin
DD	CLC_DAC_Din_pin
ArtDCK	CLC_DAC_Sck_pin
# Things identified by board voltage
+3.3F	3.30
+2.5F	2.50
+1.8F	1.80
+1F	1.00
GND	GND
# Things identified by signal name
C422	CCLK_0
+3.3F	CFGBVS_0
DONE_0	DONE_0
\_INIT\_	INIT_B_0
M0_0	M0_0
M1_0	M1_0
M2_0	M2_0
\_PROGRAM\_	PROGRAM_B_0
TCK	TCK_0
TDI	TDI_0
TDO	TDO_0
TMS	TMS_0
GND	VCCBATT_0
GND	DXN_0
GND	DXP_0
+3.3F	VCCO_0
GND	GNDADC_0
+1.8F	VCCADC_0
GND	VN_0
GND	VP_0
GND	VREFN_0
GND	VREFP_0
+2.5F	VCCO_15
+1.8F	VCCAUX
+1F	VCCBRAM
+1F	VCCINT
GND	MGTRREF_216
GND	MGTAVCC
GND	MGTAVTT
GND	MGTPRXP1_216
GND	MGTPRXP2_216
GND	MGTPRXP3_216
GND	MGTPRXP0_216
GND	MGTPRXN1_216
GND	MGTPRXN2_216
GND	MGTPRXN3_216
GND	MGTPRXN0_216
NC	MGTREFCLK1P_216
NC	MGTREFCLK1N_216
NC	MGTREFCLK0P_216
NC	MGTREFCLK0N_216
NC	MGTPTXP3_216
NC	MGTPTXP2_216
NC	MGTPTXP1_216
NC	MGTPTXP0_216
NC	MGTPTXN3_216
NC	MGTPTXN2_216
NC	MGTPTXN1_216
NC	MGTPTXN0_216
GND	VCCO_13
GND VCCO_34
GND	VCCO_35
[END]
