DEVICE	DESCR	VALUE	RATING	PACKAGE	MFG PN	MFGR NAME	MIT PN	NOTE
AD5328	12b OCTAL DAC	unknown	unknown	TSSOP16	AD5328ARUZ	ANALOG DEVICES	37-99007	
AD7984BRMZ	18b ADC	unknown	unknown	MSOP10	AD7984BRMZ	ANALOG DEVICES	37-99012	
MAX308CSE+	1of8 MUX	unknown	unknown	SO16	MAX308ESE+	MAXIM	37-99006	
REFERENCE	2.5V LP Prec Voltage Ref	REF43-803L	unknown	GDFP1-F10	REF430803L	ANALOG DEVICES	37-91011.04	
OSC	60MHZ OSC	2104D60M0000YAX	unknown	FP14	2104B60M00000YAC	VECTRON	37-93001.02	
MDM9S	9 SCKT MICRO DSUB STR THRU HOLE	unknown	unknown	MDM9S	M83513/31-A02NP	GLENAIR		
747467-1	9 PIN DSUB PLUG STR THRU HOLE	unknown	unknown	747467-1	280-026P1S9MENNA-429A	GLENAIR
Artix	Artix-7Q FPGA	XC7A50T-1FGG484C	unknown	BGA484	XQ7A50T-1FG484M	XILINX	37-99017	
CAPACITOR	CAPACITOR	0.1uF	50WVDC X7R	0805	SR0805X7R104K2NT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	0.1uF	16WVDC X7R	0603	SR0603X7R104KGNT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	0.1uF DNP	16WVDC X7R	0603	DNP	DNP		NOT USED FOR FLIGHT
CAPACITOR	CAPACITOR	100pF	25WVDC NP0	0603	SR0603NPO101K1NT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	0.68uF	50WVDC X7R	1812	SR1712X7R684K2NT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	10pF	100WVDC NP0	0603	SR0603NPO100J3NT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	10nF	50WVDC X7R	0603	SR0603X7R103K2NT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	2pF	25WVDC X7R	0603	SR0603X7R2R0K1NT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	1nF	50WVDC C0G	0505	HR0504NPO102J2NT91#N2	PRESIDIO		
