refdes	device	value	spec	footprint	description	
C30	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
R54	RESISTOR	10k	1% 1/10W	0603	Resistor	
R53	RESISTOR	1	1% 1/10W	0603	Resistor	
Q5	LM195H	unknown	unknown	TO39	unknown	
R51	RESISTOR	100k	1% 1/10W	0603	Resistor	
R52	RESISTOR	10k	1% 1/10W	0603	Resistor	
R50	RESISTOR	10k	1% 1/10W	0603	Resistor	
R49	RESISTOR	1	1% 1/10W	0603	Resistor	
Q4	LM195H	unknown	unknown	TO39	unknown	
R47	RESISTOR	100k	1% 1/10W	0603	Resistor	
R48	RESISTOR	10k	1% 1/10W	0603	Resistor	
U16	DUAL_OPAMP	LT2078AIS8	N/A	SO8	unknown	
C36	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
R36	RESISTOR	10k	1% 1/10W	0603	Resistor	
R33	RESISTOR	1	1% 1/10W	0603	Resistor	
Q1	LM195H	unknown	unknown	TO39	unknown	
R32	RESISTOR	100k	1% 1/10W	0603	Resistor	
R31	RESISTOR	10k	1% 1/10W	0603	Resistor	
U13	DUAL_OPAMP	LT2078AIS8	N/A	SO8	unknown	
C28	CAPACITOR	1uF	10WVDC X7R	0805	Ceramic capacitor	
R30	RESISTOR	330	5% 0.15W	0805	Resistor	
R37	RESISTOR	49.9	1% 1/10W	0603	Resistor	
C31	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
R34	RESISTOR	464	1% 1/10W	0603	Resistor	
U14	MAX308CSE+	unknown	unknown	SO16	8 input analog mux	
C29	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
U12	AD5328	unknown	unknown	TSSOP16	Octal DAC	
R17	RESISTOR	10k	1% 1/10W	0603	Resistor	
C13	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
R16	RESISTOR	10k	1% 1/10W	0603	Resistor	
C12	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
R15	RESISTOR	10k	1% 1/10W	0603	Resistor	
C11	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
R14	RESISTOR	10k	1% 1/10W	0603	Resistor	
C10	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
R21	RESISTOR	10k	1% 1/10W	0603	Resistor	
C17	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
R20	RESISTOR	10k	1% 1/10W	0603	Resistor	
C16	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
R19	RESISTOR	10k	1% 1/10W	0603	Resistor	
