refdes	device	value	spec	footprint	description	
L2	MIL4922	33uH	Delevan M27/367-27	MIL4922	incuctor	
L4	MIL4922	33uH	Delevan M27/367-27	MIL4922	incuctor	
R75	RESISTOR	16.2	5% 1W	2512	Resistor	
R74	RESISTOR	16.2	5% 1W	2512	Resistor	
C91	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
R73	RESISTOR	21.5k	1% 1/10W	0603	Resistor	
R76	RESISTOR	1	1% 1/10W	0603	Resistor	
Q1	NPN_TRANSISTOR	MMBT2222A	unknown	UB	unknown	
C90	CAPACITOR	10nF	50WVDC X7R	0603	Ceramic capacitor	
R77	RESISTOR	18.2k	1% 1/10W	0603	Resistor	
R72	RESISTOR	3.01Meg	1% 1/10W	0603	Resistor	
GP1	CHASSIS	unknown	unknown	CHASSIS	unknown	
R29	RESISTOR	4.3	5% 1W	2512	Resistor	
R28	RESISTOR	4.3	5% 1W	2512	Resistor	
R26	RESISTOR	4.3	5% 1W	2512	Resistor	
R27	RESISTOR	4.3	5% 1W	2512	Resistor	
R24	RESISTOR	4.3	5% 1W	2512	Resistor	
R25	RESISTOR	4.3	5% 1W	2512	Resistor	
R22	RESISTOR	4.3	5% 1W	2512	Resistor	
R23	RESISTOR	4.3	5% 1W	2512	Resistor	
R21	RESISTOR	4.3	5% 1W	2512	Resistor	
R20	RESISTOR	4.3	5% 1W	2512	Resistor	
U7	DUAL_OPAMP	LM6142AIM	N/A	SO8	generic dual operational amplifier, SO8	
R6	RESISTOR	51.1	1% 1/10W	0603	Resistor	
C1	CAPACITOR	1uF	10WVDC X7R	0805	Ceramic capacitor	
R42	RESISTOR	4.99	1% 1/10W	0603	Resistor	
C62	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
C2	CAPACITOR	1uF	10WVDC X7R	0805	Ceramic capacitor	
R45	RESISTOR	4.75k	1% 1/10W	0603	Resistor	
C3	CAPACITOR	620pF	50WVDC X7R	0603	Ceramic capacitor	
R44	RESISTOR	14.7k	1% 1/10W	0603	Resistor	
R43	RESISTOR	1	1% 1/10W	0603	Resistor	
C79	CAPACITOR	2.2uF	50WVDC X7R	2225	Ceramic capacitor	
C83	CAPACITOR	3.3uF	25WVDC X7R	2225	Ceramic capacitor	
C81	CAPACITOR	4.7uF	10WVDC X7R	1812	Ceramic capacitor	
C82	POLARIZED_CAPACITOR	33uF	25WVDC	2915	Tantalum capacitor	
C78	POLARIZED_CAPACITOR	10uF	35WVDC	2915	Tantalum capacitor	
C80	POLARIZED_CAPACITOR	100uF	15WVDC, low R	2915	Tantalum capacitor	
J7	747467-1	unknown	unknown	747467-1	unknown	
L1	MIL4922	33uH	Delevan M27/367-27	MIL4922	incuctor	
R51	RESISTOR	221	1% 1/10W	0603	Resistor	
LED6	LED	67-2226-1-ND	unknown	0603	LED	
R50	RESISTOR	1k	1% 1/10W	0603	Resistor	
LED5	LED	VAOL-S6SB4CT-ND	unknown	0603	LED	
R49	RESISTOR	1k	1% 1/10W	0603	Resistor	
LED4	LED	475-2481-1-ND	unknown	0603	LED	
AP/C13	CAPACITOR	0.33uF	10WVDC X7R	0805	Ceramic capacitor	
AP/R26	RESISTOR	10	5% 1W	2512	Resistor	
AP/R18	RESISTOR	10	5% 1W	2512	Resistor	
AP/R14	RESISTOR	43	5% 1W	2512	Resistor	
AP/R10	RESISTOR	43	5% 1W	2512	Resistor	
AP/R24	RESISTOR	3.9	5% 1W	2512	Resistor	
