refdes	device	value	spec	footprint	description	
L11	EXC-3BB102H	unknown	unknown	0603	EMI chip	
C89	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C87	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C85	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C83	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C81	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C79	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C77	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C75	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C90	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C88	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C86	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C84	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C82	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C80	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C78	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C76	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C74	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
L10	EXC-3BB102H	unknown	unknown	0603	EMI chip	
C73	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C71	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C69	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C72	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C70	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C68	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
L9	EXC-3BB102H	unknown	unknown	0603	EMI chip	
C66	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C64	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C62	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C60	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C58	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C56	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C54	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C52	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C50	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C67	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C65	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C63	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C61	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C59	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C57	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C55	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C53	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C51	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C49	CAPACITOR	2.2uF	6.3WVDC X5R	0603	Ceramic capacitor	
C105	CAPACITOR	0.1uF	25WVDC X7R	0603	Ceramic capacitor	
U9	74HC238	unknown	unknown	SO16N	attribute_conflict	
C104	CAPACITOR	0.1uF	25WVDC X7R	0603	Ceramic capacitor	
U8	74HC138	unknown	unknown	SO16N	attribute_conflict	
R45	RESISTOR	4.75k	1% 1/10W	0603	Resistor	
C103	CAPACITOR	620pF	10WVDC	0805	Ceramic capacitor	
R44	RESISTOR	14.7k	1% 1/10W	0603	Resistor	
R43	RESISTOR	1	1% 1/10W	0603	Resistor	
C102	CAPACITOR	1uF	10WVDC	0805	Ceramic capacitor	
C101	CAPACITOR	1uF	10WVDC	0805	Ceramic capacitor	
R42	RESISTOR	4.99	1% 1/10W	0603	Resistor	
C100	CAPACITOR	1uF	10WVDC	0805	Ceramic capacitor	
R41	RESISTOR	49.9	1% 1/10W	0603	Resistor	
U26	REFERENCE	REF43GS	N/A	SO8	2.5V Reference	
X4/R12	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/R11	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
